"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
1588981,"المنار","al-Qāhira","30.06263, 31.24967",1588981,"al-Qāhira","30.06263, 31.24967",179,67,"almnar"
472450345,"لغة العرب","Baghdād","33.34058, 44.40088",472450345,"Baghdād","33.34058, 44.40088",92,27,"lG0 al3rb"
4770057679,"المقتبس","al-Qāhira","30.06263, 31.24967",4770057679,"Dimashq","33.5102, 36.29128",61,35,"almQtbs"
644997575,"الحقائق","Dimashq","33.5102, 36.29128",644997575,"Dimashq","33.5102, 36.29128",56,25,"al7Qa5Q"
NA,"الرياض","Baghdād","33.34058, 44.40088",472450345,"Baghdād","33.34058, 44.40088",34,23,"alryaD"
792755902,"المؤيد","al-Qāhira","30.06263, 31.24967",1588981,"al-Qāhira","30.06263, 31.24967",29,28,"almoyd"
NA,"اللواء",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",26,25,"allwaq"
472961924,"المجلة","Paris","48.85341, 2.3488",4770057679,"al-Qāhira","30.06263, 31.24967",23,14,"almjl0"
4770057679,"المقتبس","al-Qāhira","30.06263, 31.24967",4770057679,"al-Qāhira","30.06263, 31.24967",22,15,"almQtbs"
NA,"الأهرام",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",21,20,"alahram"
472961924,"المجلة","Paris","48.85341, 2.3488",4770057679,"Dimashq","33.5102, 36.29128",16,13,"almjl0"
NA,"وقت",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",16,15,"wQt"
NA,"العلم",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",15,14,"al3lm"
NA,"الحضارة",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",14,12,"al7Dar0"
1681243,"مجلة العالم الإسلامي","Paris","48.85341, 2.3488",4770057679,"Dimashq","33.5102, 36.29128",13,11,"mjl0 al3alm alaslamy"
4770057679,"المقتبس","al-Qāhira","30.06263, 31.24967",644997575,"Dimashq","33.5102, 36.29128",12,9,"almQtbs"
1034548778,"المفيد","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",11,10,"almfyd"
1034548778,"المفيد","Bayrūt","33.88894, 35.49442",644997575,"Dimashq","33.5102, 36.29128",11,7,"almfyd"
