"author.id","author.name","author.birth","author.death","works.viaf.count","article.count","word.count"
"viaf:14924300","معروف الرصافي","1875-01-01","1945-01-01","36",24,12438
"viaf:40250618","عيسى أفندي اسكندر المعلوف","1869-04-11","1956-07-02","26",20,23297
"viaf:39370998","ساتسنا","1866-08-05","1947-01-07","55",14,19844
"","يوسف جرجس زخم","","","",12,19638
"viaf:93607460","جمال الدين القاسمي","1866-10-01","1914-04-18","67",8,38531
"viaf:32272677","Muḥammad Kurd ʿAlī","1876-01-01","1953-01-01","58",7,42488
"viaf:49218655","أحمد بك زكي","1866-05-26","1934-07-06","62",7,40311
"viaf:22006374","محمد رضا الشبيبي","1889-01-01","1965-01-01","13",7,17870
"viaf:118432135","عبد القادر أفندي المغربي","1867","1956-06-07","12",7,14074
"viaf:28125663","رفيق بك العظم","1865-01-01","1925-06-30","21",7,13237
"viaf:19737865","أحمد بك تيمور","1871-11-06","1930","63",7,7899
"viaf:305214884","جرجي حداد","","","0",5,24124
"viaf:299037057","عبد الله أفندي مخلص","1878","1947","10",5,13494
"","إبراهيم حلمي العمر","","","",5,9219
"","خليل سعد","","","",5,5932
"viaf:32410755","حافظ إبراهيم","1871-04-24","1932-06-21","39",5,5653
"viaf:73935498","الأمير شكيب أرسلان","1869-12-25","1946-12-09","69",5,4853
"viaf:50793892","سليمان ظاهر","1873","1960","11",5,4441
"viaf:236524859","مصطفى صادق الرافعي","1880-01-01","1937-05-14","45",5,2981
"viaf:89743196","ابن المقفع","0724-01-01","0759-01-01","57",4,15520
"viaf:305212906","صلاح الدين أفندي القاسمي","1887","1916","2",4,10645
"viaf:160786315","شكري بك العسلي","1868","1917","1",4,10171
"viaf:46611500","سليم عنحوري","1855","1933","1",4,9643
"viaf:65658340","الدكتور عبد الرحمن شهبندر","1882-01-01","1940-01-01","15",4,7552
"viaf:30478485","فارس أفندي الخوري","1873","1962","1",4,5655
"viaf:62350636","محمد لطفي أفندي جمعة","1886-01-18","1953-06-15","49",4,4379
"viaf:38333734","محب الدين الخطيب","1886-01-01","1969-12-30","65",4,3819
"viaf:51840827","John Wortabet","1827","1908","12",4,2007
"viaf:15578201","خير الدين الزركلي","1893-06-25","1976-11-25","22",4,1055
"","إبراهيم حلمي","","","",3,7981
"viaf:97055208","أحمد رضا","1872-06-04","1953-07-07","22",3,7709
"","عبد الوهاب","","","",3,3228
"viaf:17374300","أمين أفندي ريحاني","1876-11-24","1940-09-13","66",3,1709
"viaf:225088570","طه حسين","1889-11-14","1973-10-28","101",2,9090
"viaf:73956120","المسيو كاباتون","1863-12-11","1942-11-25","48",2,6382
"viaf:29641421","كلمان هوار","1854-02-16","1926-12-30","64",2,6310
